layer_name,previous_assigned_bits,num_weights,requested_centroids,actual_centroids,fixed_index_bits,entropy_bits_per_index,avg_huffman_bits_per_index,fixed_index_kb,huffman_stream_kb,centroid_codebook_kb,huffman_metadata_kb
features.0.0,7,864,64,64,6,5.871908253084439,5.898148148148148,0.6328125,0.6220703125,0.25,0.109375
features.1.conv.0.0,7,288,64,64,6,5.824602880878275,5.854166666666667,0.2109375,0.205810546875,0.25,0.109375
features.1.conv.1,6,512,32,32,5,4.879498831607303,4.90625,0.3125,0.306640625,0.125,0.05078125
features.2.conv.0.0,6,1536,32,32,5,4.924738210691148,4.954427083333333,0.9375,0.928955078125,0.125,0.05078125
features.2.conv.1.0,7,864,64,64,6,5.950947961881279,5.980324074074074,0.6328125,0.6307373046875,0.25,0.109375
features.2.conv.2,7,2304,64,64,6,5.927893639532197,5.94921875,1.6875,1.6732177734375,0.25,0.109375
features.3.conv.0.0,7,3456,64,64,6,5.943284976744124,5.961226851851852,2.53125,2.514892578125,0.25,0.109375
features.3.conv.1.0,7,1296,64,64,6,5.960436048250684,5.979166666666667,0.94921875,0.9459228515625,0.25,0.109375
features.3.conv.2,7,3456,64,64,6,5.947311032732711,5.971643518518518,2.53125,2.519287109375,0.25,0.109375
features.4.conv.0.0,5,3456,16,16,4,3.7586022642481884,3.807002314814815,1.6875,1.6060791015625,0.0625,0.0234375
features.4.conv.1.0,6,1296,32,32,5,4.897842132254228,4.922839506172839,0.791015625,0.77880859375,0.125,0.05078125
features.4.conv.2,7,4608,64,64,6,5.950108072751806,5.971571180555555,3.375,3.3590087890625,0.25,0.109375
features.5.conv.0.0,7,6144,64,64,6,5.9527671763634,5.972819010416667,4.5,4.4796142578125,0.25,0.109375
features.5.conv.1.0,7,1728,64,64,6,5.940175693235441,5.969907407407407,1.265625,1.25927734375,0.25,0.109375
features.5.conv.2,7,6144,64,64,6,5.947294726940713,5.97021484375,4.5,4.4776611328125,0.25,0.109375
features.6.conv.0.0,5,6144,16,16,4,3.7507106555616514,3.80859375,3.0,2.8564453125,0.0625,0.0234375
features.6.conv.1.0,7,1728,64,64,6,5.959923477156721,5.980902777777778,1.265625,1.2615966796875,0.25,0.109375
features.6.conv.2,7,6144,64,64,6,5.9352011848209365,5.955240885416667,4.5,4.4664306640625,0.25,0.109375
features.7.conv.0.0,7,6144,64,64,6,5.9426162035963,5.963704427083333,4.5,4.4727783203125,0.25,0.109375
features.7.conv.1.0,6,1728,32,32,5,4.919985580251792,4.954861111111111,1.0546875,1.045166015625,0.125,0.05078125
features.7.conv.2,6,12288,32,32,5,4.869415452406667,4.905843098958333,7.5,7.3587646484375,0.125,0.05078125
features.8.conv.0.0,5,24576,16,16,4,3.7922266865196144,3.8472086588541665,12.0,11.5416259765625,0.0625,0.0234375
features.8.conv.1.0,6,3456,32,32,5,4.92133760160833,4.953993055555555,2.109375,2.0899658203125,0.125,0.05078125
features.8.conv.2,7,24576,64,64,6,5.907009314447111,5.926717122395833,18.0,17.7801513671875,0.25,0.109375
features.9.conv.0.0,7,24576,64,64,6,5.924103540676343,5.944742838541667,18.0,17.834228515625,0.25,0.109375
features.9.conv.1.0,7,3456,64,64,6,5.958561307142347,5.980613425925926,2.53125,2.5230712890625,0.25,0.109375
features.9.conv.2,7,24576,64,64,6,5.914681757192895,5.934366861979167,18.0,17.8031005859375,0.25,0.109375
features.10.conv.0.0,5,24576,16,16,4,3.7761006027835182,3.8376057942708335,12.0,11.5128173828125,0.0625,0.0234375
features.10.conv.1.0,5,3456,16,16,4,3.781723589771976,3.831886574074074,1.6875,1.6165771484375,0.0625,0.0234375
features.10.conv.2,5,24576,16,16,4,3.709953831392813,3.7725423177083335,12.0,11.317626953125,0.0625,0.0234375
features.11.conv.0.0,7,24576,64,64,6,5.946033362045368,5.966349283854167,18.0,17.8990478515625,0.25,0.109375
features.11.conv.1.0,7,3456,64,64,6,5.9608622719591375,5.98119212962963,2.53125,2.5233154296875,0.25,0.109375
features.11.conv.2,7,36864,64,64,6,5.94527056440937,5.961697048611111,27.0,26.82763671875,0.25,0.109375
features.12.conv.0.0,6,55296,32,32,5,4.90601300825534,4.938838252314815,33.75,33.337158203125,0.125,0.05078125
features.12.conv.1.0,5,5184,16,16,4,3.7425716788881265,3.775462962962963,2.53125,2.38916015625,0.0625,0.0234375
features.12.conv.2,6,55296,32,32,5,4.905986377331394,4.939778645833333,33.75,33.343505859375,0.125,0.05078125
features.13.conv.0.0,7,55296,64,64,6,5.953014661205381,5.971028645833333,40.5,40.304443359375,0.25,0.109375
features.13.conv.1.0,5,5184,16,16,4,3.709276302683988,3.752314814814815,2.53125,2.37451171875,0.0625,0.0234375
features.13.conv.2,7,55296,64,64,6,5.953767827067914,5.97216796875,40.5,40.3121337890625,0.25,0.109375
features.14.conv.0.0,7,55296,64,64,6,5.946327650062257,5.964265046296297,40.5,40.2587890625,0.25,0.109375
features.14.conv.1.0,5,5184,16,16,4,3.689148430660718,3.7413194444444446,2.53125,2.3675537109375,0.0625,0.0234375
features.14.conv.2,7,92160,64,64,6,5.935920127088344,5.956315104166666,67.5,67.008544921875,0.25,0.109375
features.15.conv.0.0,5,153600,16,16,4,3.8193781129266626,3.8807161458333335,75.0,72.763427734375,0.0625,0.0234375
features.15.conv.1.0,7,8640,64,64,6,5.9484722398259455,5.965625,6.328125,6.2918701171875,0.25,0.109375
features.15.conv.2,6,153600,32,32,5,4.879291743475687,4.916399739583333,93.75,92.1824951171875,0.125,0.05078125
features.16.conv.0.0,6,153600,32,32,5,4.885158215798252,4.920013020833333,93.75,92.250244140625,0.125,0.05078125
features.16.conv.1.0,7,8640,64,64,6,5.9449745595205865,5.96412037037037,6.328125,6.290283203125,0.25,0.109375
features.16.conv.2,7,153600,64,64,6,5.940355332962631,5.95916015625,112.5,111.7342529296875,0.25,0.109375
features.17.conv.0.0,5,153600,16,16,4,3.7858935565746763,3.84712890625,75.0,72.1336669921875,0.0625,0.0234375
features.17.conv.1.0,5,8640,16,16,4,3.647397711259921,3.691087962962963,4.21875,3.8929443359375,0.0625,0.0234375
features.17.conv.2,5,307200,16,16,4,3.7739235064352807,3.83896484375,150.0,143.961181640625,0.0625,0.0234375
features.18.0,5,409600,16,16,4,3.843570302513928,3.9050439453125,200.0,195.252197265625,0.0625,0.0234375
classifier.1,5,12800,16,16,4,3.8920638950668818,3.938515625,6.25,6.1539306640625,0.0625,0.0234375
